,date,description,category,type,amount,account,account_type,transaction_amount,balance_amount,is_recurring
0,2020-11-28,BALANCE PLUG,BALANCE,Debit,474.56,Chase3229,credit_card,-474.56,-474.56,FALSE
1,2020-11-29,GAP ONLINE,Shopping,Debit,24.98,Chase3229,credit_card,-24.98,-499.54,FALSE
2,2020-12-04,ANTHROPOLOGIE.COM,Shopping,Debit,2394.51,Chase3229,credit_card,-2394.51,-2894.05,FALSE
3,2020-12-10,PUBLIX #1389,Groceries,Debit,16.03,Chase3229,credit_card,-16.03,-2910.08,FALSE
4,2020-12-11,COOLSTUFFINC.COM LLC,Entertainment,Debit,5.87,Chase3229,credit_card,-5.87,-2915.95,FALSE
5,2020-12-19,PUBLIX #1389,Groceries,Debit,33.24,Chase3229,credit_card,-33.24,-2949.19,FALSE
6,2020-12-20,POLLO TROPICAL 10006,Food/Drink,Debit,26.91,Chase3229,credit_card,-26.91,-2976.1,FALSE
7,2020-12-22,POLLO TROPICAL 10125,Food/Drink,Debit,38.69,Chase3229,credit_card,-38.69,-3014.79,FALSE
8,2020-12-22,WINN-DIXIE-LIQUOR #0389,Food/Drink,Debit,35.84,Chase3229,credit_card,-35.84,-3050.63,FALSE
9,2020-12-23,eBay O*17-06291-19457,Shopping,Debit,249.99,Chase3229,credit_card,-249.99,-3300.62,FALSE
10,2020-12-24,TARGET        00010397,Shopping,Debit,64.75,Chase3229,credit_card,-64.75,-3365.37,FALSE
11,2020-12-27,AUTOMATIC PAYMENT - THANK,Payment/Credit,Credit,35.0,Chase3229,credit_card,35.0,-3330.37,TRUE
12,2020-12-28,WALGREENS #3565,Healthcare,Debit,77.15,Chase3229,credit_card,-77.15,-3407.52,FALSE
13,2020-12-28,VICKY BAKERY PALMETTO BAY,Food/Drink,Debit,18.72,Chase3229,credit_card,-18.72,-3426.24,FALSE
14,2020-12-31,JHN PNNKAMP CRL RF ST PK,Entertainment,Debit,9.0,Chase3229,credit_card,-9.0,-3435.24,FALSE
15,2020-12-31,JHN PNNKAMP CRL RF ST PK,Entertainment,Credit,9.0,Chase3229,credit_card,9.0,-3426.24,FALSE
16,2020-12-31,JHN PNNKAMP CRL RF ST PK,Entertainment,Debit,9.0,Chase3229,credit_card,-9.0,-3435.24,FALSE
17,2020-12-31,WENDY'S #3892,Food/Drink,Debit,16.3,Chase3229,credit_card,-16.3,-3451.54,FALSE
18,2021-01-06,DC  ZOO MIAMI,Entertainment,Debit,12.0,Chase3229,credit_card,-12.0,-3463.54,FALSE
19,2021-01-09,COOLSTUFFINC.COM LLC,Entertainment,Debit,12.28,Chase3229,credit_card,-12.28,-3475.82,FALSE
20,2021-01-09,TST* SERGIO S RESTAURANT,Food/Drink,Debit,4.26,Chase3229,credit_card,-4.26,-3480.08,FALSE
